id,upload_date,cumulative_no,First_ts,First_sr
157,1/15/2021,90,Yamethin,Mandalay
158,1/15/2021,87,Wundwin,Mandalay
159,1/15/2021,87,Pwintbyu,Magway
160,1/15/2021,85,Yinmarbin,Sagaing
161,1/15/2021,83,Kyaunggon,Ayeyarwady
162,1/15/2021,81,Kanbalu,Sagaing
164,1/15/2021,78,Hlaingbwe,Kayin
165,1/15/2021,74,Mudon,Mon
166,1/15/2021,73,Ngazun,Mandalay
168,1/15/2021,71,Kyaikmaraw,Mon
169,1/15/2021,70,Salingyi,Sagaing
170,1/15/2021,69,Gangaw,Magway
171,1/15/2021,68,Thayet,Magway
172,1/15/2021,67,Kangyidaunt,Ayeyarwady
173,1/15/2021,63,Thanbyuzayat,Mon
174,1/15/2021,62,Muse,Shan
175,1/15/2021,62,Einme,Ayeyarwady
176,1/15/2021,60,Loikaw,Kayah
177,1/15/2021,56,Lemyethna,Ayeyarwady
178,1/15/2021,54,Ywangan,Shan
180,1/15/2021,49,Taze,Sagaing
182,1/15/2021,49,Seikphyu,Magway
183,1/15/2021,48,Tatkon,Nay Pyi Taw
184,1/15/2021,48,Chaungzon,Mon
185,1/15/2021,47,Mogoke,Mandalay
187,1/15/2021,45,Launglon,Tanintharyi
188,1/15/2021,44,Mohnyin,Kachin
189,1/15/2021,44,Thabeikkyin,Mandalay
190,1/15/2021,43,Mindat,Chin
191,1/15/2021,43,Mahlaing,Mandalay
192,1/15/2021,43,Palaw,Tanintharyi
193,1/15/2021,41,Oke Ta Ra Thi Ri,Nay Pyi Taw
194,1/15/2021,41,Zalun,Ayeyarwady
195,1/15/2021,41,Lashio,Shan
196,1/15/2021,40,Myanaung,Ayeyarwady
197,1/15/2021,39,Indaw,Sagaing
198,1/15/2021,39,Sinbaungwe,Magway
199,1/15/2021,38,Gwa,Rakhine
200,1/15/2021,38,Pantanaw,Ayeyarwady
201,1/15/2021,37,Minhla,Magway
202,1/15/2021,37,Chaung-U,Sagaing
203,1/15/2021,36,Tabayin,Sagaing
204,1/15/2021,36,Yesagyo,Magway
205,1/15/2021,35,Det Khi Na Thi Ri,Nay Pyi Taw
206,1/15/2021,35,Pale,Sagaing
207,1/15/2021,35,Nawnghkio,Shan
208,1/15/2021,34,Homalin,Sagaing
209,1/15/2021,33,Kyangin,Ayeyarwady
210,1/15/2021,33,Wetlet,Sagaing
211,1/15/2021,32,Ye-U,Sagaing
212,1/15/2021,30,Pauk,Magway
213,1/15/2021,30,Mingin,Sagaing
214,1/15/2021,30,Lawksawk,Shan
215,1/15/2021,29,Kyaukme,Shan
216,1/15/2021,29,Matupi,Chin
217,1/15/2021,28,Paletwa,Chin
218,1/15/2021,27,Yebyu,Tanintharyi
219,1/15/2021,27,Ramree,Rakhine
220,1/15/2021,27,Myinmu,Sagaing
221,1/15/2021,27,Kawlin,Sagaing
222,1/15/2021,26,Katha,Sagaing
223,1/15/2021,25,Kawthoung,Tanintharyi
224,1/15/2021,25,Budalin,Sagaing
225,1/15/2021,25,Khin-U,Sagaing
226,1/15/2021,24,Tonzang,Chin
227,1/15/2021,24,Kani,Sagaing
228,1/15/2021,23,Hakha,Chin
229,1/15/2021,22,Thabaung,Ayeyarwady
230,1/15/2021,22,Pinlaung,Shan
232,1/15/2021,21,Shwegu,Kachin
233,1/15/2021,21,Falam,Chin
234,1/15/2021,21,Kyunhla,Sagaing
235,1/15/2021,20,Loilen,Shan
236,1/15/2021,20,Namhsan,Shan
237,1/15/2021,19,Myaung,Sagaing
238,1/15/2021,19,Bhamo,Kachin
239,1/15/2021,19,Kamma,Magway
240,1/15/2021,19,Kutkai,Shan
241,1/15/2021,17,Hsihseng,Shan
242,1/15/2021,17,Singu,Mandalay
243,1/15/2021,16,Mogaung,Kachin
244,1/15/2021,15,Ayadaw,Sagaing
245,1/15/2021,15,Thayetchaung,Tanintharyi
246,1/15/2021,14,Pindaya,Shan
247,1/15/2021,14,Ngape,Magway
248,1/15/2021,14,Kyunsu,Tanintharyi
249,1/15/2021,14,Waingmaw,Kachin
250,1/15/2021,14,Kalewa,Sagaing
251,1/15/2021,13,Munaung,Rakhine
252,1/15/2021,13,Ngapudaw,Ayeyarwady
253,1/15/2021,13,Hsipaw,Shan
254,1/15/2021,12,Kyainseikgyi,Kayin
255,1/15/2021,12,Mongyawng,Shan
256,1/15/2021,12,Bokpyin,Tanintharyi
257,1/15/2021,12,Nyaungshwe,Shan
258,1/15/2021,12,Saw,Magway
259,1/15/2021,11,Thandaunggyi,Kayin
260,1/15/2021,11,Mongmit,Shan
261,1/15/2021,10,Hopong,Shan
262,1/15/2021,9,Momauk,Kachin
263,1/15/2021,9,Wuntho,Sagaing
264,1/15/2021,9,Sidoktaya,Magway
265,1/15/2021,8,Nansang,Shan
266,1/15/2021,8,Namhkan,Shan
267,1/15/2021,7,Namtu,Shan
268,1/15/2021,7,Pekon,Shan
269,1/15/2021,7,Kanpetlet,Chin
270,1/15/2021,6,Tilin,Magway
271,1/15/2021,6,Kengtung,Shan
272,1/15/2021,6,Mindon,Magway
273,1/15/2021,6,Mabein,Shan
274,1/15/2021,5,Monghpyak,Shan
275,1/15/2021,5,Thantlang,Chin
276,1/15/2021,5,Paungbyin,Sagaing
277,1/15/2021,5,Mongton,Shan
278,1/15/2021,5,Mongping,Shan
279,1/15/2021,4,Tigyaing,Sagaing
280,1/15/2021,4,Tangyan,Shan
281,1/15/2021,4,Mongnai,Shan
282,1/15/2021,4,Nanyun,Sagaing
283,1/15/2021,3,Hpapun,Kayin
284,1/15/2021,3,Monghsat,Shan
285,1/15/2021,3,Hkamti,Sagaing
286,1/15/2021,3,Demoso,Kayah
287,1/15/2021,3,Monghsu,Shan
289,1/15/2021,2,Puta-O,Kachin
290,1/15/2021,2,Langkho,Shan
291,1/16/2021,6021,Mingaladon,Yangon
292,1/16/2021,5824,North Okkalapa,Yangon
293,1/16/2021,4804,Hlaingtharya,Yangon
294,1/16/2021,4608,Insein,Yangon
295,1/16/2021,4531,Thingangyun,Yangon
296,1/16/2021,3839,Mayangone,Yangon
297,1/16/2021,3796,Shwepyithar,Yangon
299,1/16/2021,3175,Dagon Myothit (South),Yangon
300,1/16/2021,3006,Tamwe,Yangon
301,1/16/2021,2964,South Okkalapa,Yangon
302,1/16/2021,2956,Hlaing,Yangon
303,1/16/2021,2855,Thanlyin,Yangon
304,1/16/2021,2666,Chanayethazan,Mandalay
305,1/16/2021,2487,Kamaryut,Yangon
306,1/16/2021,2476,Aungmyaythazan,Mandalay
307,1/16/2021,2461,Mahaaungmyay,Mandalay
308,1/16/2021,2390,Thaketa,Yangon
309,1/16/2021,2311,Dagon Myothit (North),Yangon
310,1/16/2021,2114,Hmawbi,Yangon
311,1/16/2021,2046,Dagon Myothit (East),Yangon
312,1/16/2021,2038,Kyeemyindaing,Yangon
313,1/16/2021,2027,Sanchaung,Yangon
314,1/16/2021,1938,Chanmyathazi,Mandalay
315,1/16/2021,1845,Mingalartaungnyunt,Yangon
316,1/16/2021,1590,Amarapura,Mandalay
317,1/16/2021,1549,Sittwe,Rakhine
318,1/16/2021,1548,Bahan,Yangon
319,1/16/2021,1412,Dala,Yangon
320,1/16/2021,1385,Mawlamyine,Mon
321,1/16/2021,1297,Yankin,Yangon
322,1/16/2021,1277,Lanmadaw,Yangon
323,1/16/2021,1252,Dagon Myothit (Seikkan),Yangon
324,1/16/2021,1169,Botahtaung,Yangon
325,1/16/2021,1118,Hlegu,Yangon
326,1/16/2021,1103,Dawbon,Yangon
327,1/16/2021,1092,Ahlone,Yangon
328,1/16/2021,952,Kyauktan,Yangon
