,townships,sr,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
112,Thazi Township,Mandalay Region,Thazi,Mandalay,Thazi,MMR010030,MMR010,Mandalay,သာစည်
113,Dawei Township,Tanintharyi Region,Dawei,Tanintharyi,Dawei,MMR006001,MMR006,Tanintharyi,ထားဝယ်
114,Poke Ba Thi Ri Township,Naypyitaw,Poke Ba Thi Ri,Nay Pyi Taw,Poke Ba Thi Ri,MMR018005,MMR018,Nay Pyi Taw,ပုဗ္ဗသီရိ
115,Myitkyina Township,Kachin State,Myitkyina,Kachin,Myitkyina,MMR001001,MMR001,Kachin,မြစ်ကြီးနား
116,Ye Township,Mon State,Ye,Mon,Ye,MMR011006,MMR011,Mon,ရေး
117,Pyawbwe Township,Mandalay Region,Pyawbwe,Mandalay,Pyawbwe,MMR010024,MMR010,Mandalay,ပျော်ဘွယ်
118,Tada-U Township,Mandalay Region,Tada-U,Mandalay,Tada-U,MMR010016,MMR010,Mandalay,တံတားဦး
119,Danubyu Township,Ayeyarwady Region,Danubyu,Ayeyarwady,Danubyu,MMR017022,MMR017,Ayeyarwady,ဓနုဖြူ
120,Tamu Township,Sagaing Region,Tamu,Sagaing,Tamu,MMR005030,MMR005,Sagaing,တမူး
121,Kanbalu Township,Sagaing Region,Kanbalu,Sagaing,Kanbalu,MMR005007,MMR005,Sagaing,ကန့်ဘလူ
122,Ponnagyun Township,Rakhine State,Ponnagyun,Rakhine,Ponnagyun,MMR012002,MMR012,Rakhine,ပုဏ္ဏားကျွန်း
123,Tachileik Township,Shan State (East),Tachileik,Shan (East),Tachileik,MMR016009,MMR016,Shan (East),တာချီလိတ်
124,Myittha Township,Mandalay Region,Myittha,Mandalay,Myittha,MMR010015,MMR010,Mandalay,မြစ်သား
125,Wakema Township,Ayeyarwady Region,Wakema,Ayeyarwady,Wakema,MMR017017,MMR017,Ayeyarwady,ဝါးခယ်မ
126,Lewe Township,Naypyitaw,Lewe,Nay Pyi Taw,Lewe,MMR018007,MMR018,Nay Pyi Taw,လယ်ဝေး
127,Natogyi Township,Mandalay Region,Natogyi,Mandalay,Natogyi,MMR010019,MMR010,Mandalay,နွားထိုးကြီး
128,Kalaw Township,Shan State (South),Kalaw,Shan (South),Kalaw,MMR014005,MMR014,Shan (South),ကလော
129,Pyinmana Township,Naypyitaw,Pyinmana,Nay Pyi Taw,Pyinmana,MMR018006,MMR018,Nay Pyi Taw,ပျဉ်းမနား
130,Myebon Township,Rakhine State,Myebon,Rakhine,Myebon,MMR012006,MMR012,Rakhine,မြေပုံ
131,Wundwin Township,Mandalay Region,Wundwin,Mandalay,Wundwin,MMR010031,MMR010,Mandalay,ဝမ်းတွင်း
132,Myaing Township,Magway Region,Myaing,Magway,Myaing,MMR009020,MMR009,Magway,မြိုင်
133,Minbya Township,Rakhine State,Minbya,Rakhine,Minbya,MMR012005,MMR012,Rakhine,မင်းပြား
134,Yamethin Township,Mandalay Region,Yamethin,Mandalay,Yamethin,MMR010023,MMR010,Mandalay,ရမည်းသင်း
135,Yinmarbin Township,Sagaing Region,Yinmarbin,Sagaing,Yinmarbin,MMR005016,MMR005,Sagaing,ယင်းမာပင်
136,Pwintbyu Township,Magway Region,Pwintbyu,Magway,Pwintbyu,MMR009008,MMR009,Magway,ပွင့်ဖြူ
137,Kyaunggon Township,Ayeyarwady Region,Kyaunggon,Ayeyarwady,Kyaunggon,MMR017007,MMR017,Ayeyarwady,ကျောင်းကုန်း
138,Mudon Township,Mon State,Mudon,Mon,Mudon,MMR011005,MMR011,Mon,မုဒုံ
139,Hlaingbwe Township,Kayin State,Hlaingbwe,Kayin,Hlaingbwe,MMR003002,MMR003,Kayin,လှိုင်းဘွဲ့
140,Salingyi Township,Sagaing Region,Salingyi,Sagaing,Salingyi,MMR005018,MMR005,Sagaing,ဆားလင်းကြီး
141,Ngazun Township,Mandalay Region,Ngazun,Mandalay,Ngazun,MMR010021,MMR010,Mandalay,ငါန်းဇွန်
142,Kyaikmaraw Township,Mon State,Kyaikmaraw,Mon,Kyaikmaraw,MMR011002,MMR011,Mon,ကျိုက်မရော
143,Gangaw Township,Magway Region,Gangaw,Magway,Gangaw,MMR009023,MMR009,Magway,ဂန့်ဂေါ
144,Thayet Township,Magway Region,Thayet,Magway,Thayet,MMR009012,MMR009,Magway,သရက်
145,Kangyidaunt Township,Ayeyarwady Region,Kangyidaunt,Ayeyarwady,Kangyidaunt,MMR017002,MMR017,Ayeyarwady,ကန်ကြီးထောင့်
146,Muse Township,Shan State (North),Muse,Shan (North),Muse,MMR015009,MMR015,Shan (North),မူဆယ်
147,Thanbyuzayat Township,Mon State,Thanbyuzayat,Mon,Thanbyuzayat,MMR011004,MMR011,Mon,သံဖြူဇရပ်
148,Loikaw Township,Kayah State,Loikaw,Kayah,Loikaw,MMR002001,MMR002,Kayah,လွိုင်ကော်
149,Einme Township,Ayeyarwady Region,Einme,Ayeyarwady,Einme,MMR017015,MMR017,Ayeyarwady,အိမ်မဲ
150,Lemyethna Township,Ayeyarwady Region,Lemyethna,Ayeyarwady,Lemyethna,MMR017010,MMR017,Ayeyarwady,လေးမျက်နှာ
151,Ywangan Township,Shan State (South),Ywangan,Shan (South),Ywangan,MMR014007,MMR014,Shan (South),ရွာငံ
152,Chaungzon Township,Mon State,Chaungzon,Mon,Chaungzon,MMR011003,MMR011,Mon,ချောင်းဆုံ
153,Mogoke Township,Mandalay Region,Mogoke,Mandalay,Mogoke,MMR010011,MMR010,Mandalay,မိုးကုတ်
154,Seikphyu Township,Magway Region,Seikphyu,Magway,Seikphyu,MMR009022,MMR009,Magway,ဆိပ်ဖြူ
155,Taze Township,Sagaing Region,Taze,Sagaing,Taze,MMR005011,MMR005,Sagaing,တန့်ဆည်
156,Tatkon Township,Naypyitaw,Tatkon,Nay Pyi Taw,Tatkon,MMR018003,MMR018,Nay Pyi Taw,တပ်ကုန်း
157,Thabeikkyin Township,Mandalay Region,Thabeikkyin,Mandalay,Thabeikkyin,MMR010012,MMR010,Mandalay,သပိတ်ကျင်း
158,Mahlaing Township,Mandalay Region,Mahlaing,Mandalay,Mahlaing,MMR010029,MMR010,Mandalay,မလှိုင်
159,Lashio Township,Shan State (North),Lashio,Shan (North),Lashio,MMR015001,MMR015,Shan (North),လားရှိုး
160,Mohnyin Township,Kachin State,Mohnyin,Kachin,Mohnyin,MMR001007,MMR001,Kachin,မိုးညှင်း
161,Launglon Township,Tanintharyi Region,Launglon,Tanintharyi,Launglon,MMR006002,MMR006,Tanintharyi,လောင်းလုံး
162,Mindat Township,Chin State,Mindat,Chin,Mindat,MMR004006,MMR004,Chin,မင်းတပ်
163,Indaw Township,Sagaing Region,Indaw,Sagaing,Indaw,MMR005021,MMR005,Sagaing,အင်းတော်
164,Chaung-U Township,Sagaing Region,Chaung-U,Sagaing,Chaung-U,MMR005015,MMR005,Sagaing,ချောင်းဦး
165,Palaw Township,Tanintharyi Region,Palaw,Tanintharyi,Palaw,MMR006007,MMR006,Tanintharyi,ပုလော
166,Oke Ta Ra Thi Ri Township,Naypyitaw,Oke Ta Ra Thi Ri,Nay Pyi Taw,Oke Ta Ra Thi Ri,MMR018008,MMR018,Nay Pyi Taw,ဥတ္တရသီရိ
167,Zalun Township,Ayeyarwady Region,Zalun,Ayeyarwady,Zalun,MMR017009,MMR017,Ayeyarwady,ဇလွန်
168,Sinbaungwe Township,Magway Region,Sinbaungwe,Magway,Sinbaungwe,MMR009017,MMR009,Magway,ဆင်ပေါင်ဝဲ
169,Myanaung Township,Ayeyarwady Region,Myanaung,Ayeyarwady,Myanaung,MMR017011,MMR017,Ayeyarwady,မြန်အောင်
170,Gwa Township,Rakhine State,Gwa,Rakhine,Gwa,MMR012017,MMR012,Rakhine,ဂွ
171,Pantanaw Township,Ayeyarwady Region,Pantanaw,Ayeyarwady,Pantanaw,MMR017020,MMR017,Ayeyarwady,ပန်းတနော်
172,Kyangin Township,Ayeyarwady Region,Kyangin,Ayeyarwady,Kyangin,MMR017012,MMR017,Ayeyarwady,ကြံခင်း
173,Minhla Township,Magway Region,Minhla,Magway,Minhla,MMR009013,MMR009,Magway,မင်းလှ
174,Pale Township,Sagaing Region,Pale,Sagaing,Pale,MMR005019,MMR005,Sagaing,ပုလဲ
175,Kawlin Township,Sagaing Region,Kawlin,Sagaing,Kawlin,MMR005024,MMR005,Sagaing,ကောလင်း
176,Tabayin Township,Sagaing Region,Tabayin,Sagaing,Tabayin,MMR005010,MMR005,Sagaing,ဒီပဲယင်း
177,Yesagyo Township,Magway Region,Yesagyo,Magway,Yesagyo,MMR009019,MMR009,Magway,ရေစကြို
178,Det Khi Na Thi Ri Township,Naypyitaw,Det Khi Na Thi Ri,Nay Pyi Taw,Det Khi Na Thi Ri,MMR018004,MMR018,Nay Pyi Taw,ဒက္ခိဏသီရိ
179,Wetlet Township,Sagaing Region,Wetlet,Sagaing,Wetlet,MMR005006,MMR005,Sagaing,ဝက်လက်
180,Nawnghkio Township,Shan State (North),Nawnghkio,Shan (North),Nawnghkio,MMR015013,MMR015,Shan (North),နောင်ချို
181,Homalin Township,Sagaing Region,Homalin,Sagaing,Homalin,MMR005034,MMR005,Sagaing,ဟုမ္မလင်း
182,Ye-U Township,Sagaing Region,Ye-U,Sagaing,Ye-U,MMR005009,MMR005,Sagaing,ရေဦး
183,Kyaukme Township,Shan State (North),Kyaukme,Shan (North),Kyaukme,MMR015012,MMR015,Shan (North),ကျောက်မဲ
184,Pauk Township,Magway Region,Pauk,Magway,Pauk,MMR009021,MMR009,Magway,ပေါက်
185,Mingin Township,Sagaing Region,Mingin,Sagaing,Mingin,MMR005029,MMR005,Sagaing,မင်းကင်း
