,townships,sr,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
236,Namtu Township,Shan State (North),Namtu,Shan (North),Namtu,MMR015015,MMR015,Shan (North),နမ္မတူ
237,Namhkan Township,Shan State (North),Namhkan,Shan (North),Namhkan,MMR015010,MMR015,Shan (North),နမ့်ခမ်း
238,Pekon Township,Shan State (South),Pekon,Shan (South),Pekon,MMR014010,MMR014,Shan (South),ဖယ်ခုံ
239,Kanpetlet Township,Chin State,Kanpetlet,Chin,Kanpetlet,MMR004008,MMR004,Chin,ကန်ပက်လက်
240,Tilin Township,Magway Region,Tilin,Magway,Tilin,MMR009024,MMR009,Magway,ထီးလင်း
241,Kengtung Township,Shan State (East),Kengtung,Shan (East),Kengtung,MMR016001,MMR016,Shan (East),ကျိုင်းတုံ
242,Mindon Township,Magway Region,Mindon,Magway,Mindon,MMR009014,MMR009,Magway,မင်းတုန်း
243,Mabein Township,Shan State (North),Mabein,Shan (North),Mabein,MMR015018,MMR015,Shan (North),မဘိမ်း
244,Monghpyak Township,Shan State (East),Monghpyak,Shan (East),Monghpyak,MMR016010,MMR016,Shan (East),မိုင်းဖြတ်
245,Thantlang Township,Chin State,Thantlang,Chin,Thantlang,MMR004003,MMR004,Chin,ထန်တလန်
246,Paungbyin Township,Sagaing Region,Paungbyin,Sagaing,Paungbyin,MMR005032,MMR005,Sagaing,ဖောင်းပြင်
247,Mongton Township,Shan State (East),Mongton,Shan (East),Mongton,MMR016008,MMR016,Shan (East),မိုင်းတုံ
248,Mongping Township,Shan State (East),Mongping,Shan (East),Mongping,MMR016007,MMR016,Shan (East),မိုင်းပျဉ်း
249,Tangyan Township,Shan State (North),Tangyan,Shan (North),Tangyan,MMR015004,MMR015,Shan (North),တန့်ယန်း
250,Hkamti Township,Sagaing Region,Hkamti,Sagaing,Hkamti,MMR005033,MMR005,Sagaing,ခန္တီး
251,Demoso Township,Kayah State,Demoso,Kayah,Demoso,MMR002002,MMR002,Kayah,ဒီးမော့ဆို
252,Mongnai Township,Shan State (South),Mongnai,Shan (South),Mongnai,MMR014019,MMR014,Shan (South),မိုးနဲ
253,Nanyun Township,Sagaing Region,Nanyun,Sagaing,Nanyun,MMR005037,MMR005,Sagaing,နန်းယွန်း
254,Hpapun Township,Kayin State,Hpapun,Kayin,Hpapun,MMR003003,MMR003,Kayin,ဖာပွန်
255,Monghsat Township,Shan State (East),Monghsat,Shan (East),Monghsat,MMR016006,MMR016,Shan (East),မိုင်းဆတ်
256,Monghsu Township,Shan State (South),Monghsu,Shan (South),Monghsu,MMR014017,MMR014,Shan (South),မိုင်းရှူး
257,Puta-O Township,Kachin State,Puta-O,Kachin,Puta-O,MMR001014,MMR001,Kachin,ပူတာအို
258,Langkho Township,Shan State (South),Langkho,Shan (South),Langkho,MMR014018,MMR014,Shan (South),လင်းခေး
259,Bago Township,Bago Region,Bago,Bago,Bago,MMR007001,MMR007,Bago (East),ပဲခူး
260,Thayarwady Township,Bago Region,Thayarwady,Bago,Thayarwady,MMR008007,MMR008,Bago (West),သာယာဝတီ
261,Phyu Township,Bago Region,Phyu,Bago,Phyu,MMR007012,MMR007,Bago (East),ဖြူး
262,Letpadan Township,Bago Region,Letpadan,Bago,Letpadan,MMR008008,MMR008,Bago (West),လက်ပံတန်း
263,Waw Township,Bago Region,Waw,Bago,Waw,MMR007004,MMR007,Bago (East),ဝေါ
264,Kawa Township,Bago Region,Kawa,Bago,Kawa,MMR007003,MMR007,Bago (East),ကဝ
265,Kyauktaga Township,Bago Region,Kyauktaga,Bago,Kyauktaga,MMR007006,MMR007,Bago (East),ကျောက်တံခါး
266,Nyaunglebin Township,Bago Region,Nyaunglebin,Bago,Nyaunglebin,MMR007005,MMR007,Bago (East),ညောင်လေးပင်
267,Minhla Township,Bago Region,Minhla,Bago,Minhla,MMR008009,MMR008,Bago (West),မင်းလှ
268,Pyay Township,Bago Region,Pyay,Bago,Pyay,MMR008001,MMR008,Bago (West),ပြည်
269,Daik-U Township,Bago Region,Daik-U,Bago,Daik-U,MMR007007,MMR007,Bago (East),ဒိုက်ဦး
270,Okpho Township,Bago Region,Okpho,Bago,Okpho,MMR008010,MMR008,Bago (West),အုတ်ဖို
271,Thanatpin Township,Bago Region,Thanatpin,Bago,Thanatpin,MMR007002,MMR007,Bago (East),သနပ်ပင်
272,Taungoo Township,Bago Region,Taungoo,Bago,Taungoo,MMR007009,MMR007,Bago (East),တောင်ငူ
273,Shwedaung Township,Bago Region,Shwedaung,Bago,Shwedaung,MMR008006,MMR008,Bago (West),ရွှေတောင်
274,Yedashe Township,Bago Region,Yedashe,Bago,Yedashe,MMR007010,MMR007,Bago (East),ရေတာရှည်
275,Nattalin Township,Bago Region,Nattalin,Bago,Nattalin,MMR008012,MMR008,Bago (West),နတ်တလင်း
276,Gyobingauk Township,Bago Region,Gyobingauk,Bago,Gyobingauk,MMR008014,MMR008,Bago (West),ကြို့ပင်ကောက်
277,Paungde Township,Bago Region,Paungde,Bago,Paungde,MMR008004,MMR008,Bago (West),ပေါင်းတည်
278,Monyo Township,Bago Region,Monyo,Bago,Monyo,MMR008013,MMR008,Bago (West),မိုးညို
279,Oktwin Township,Bago Region,Oktwin,Bago,Oktwin,MMR007013,MMR007,Bago (East),အုတ်တွင်း
280,Padaung Township,Bago Region,Padaung,Bago,Padaung,MMR008003,MMR008,Bago (West),ပန်းတောင်း
281,Thegon Township,Bago Region,Thegon,Bago,Thegon,MMR008005,MMR008,Bago (West),သဲကုန်း
282,Zigon Township,Bago Region,Zigon,Bago,Zigon,MMR008011,MMR008,Bago (West),ဇီးကုန်း
283,Shwegyin Township,Bago Region,Shwegyin,Bago,Shwegyin,MMR007008,MMR007,Bago (East),ရွှေကျင်
284,Paukkhaung Township,Bago Region,Paukkhaung,Bago,Paukkhaung,MMR008002,MMR008,Bago (West),ပေါက်ခေါင်း
285,Htantabin Township,Bago Region,Htantabin,Bago,Htantabin,MMR007014,MMR007,Bago (East),ထန်းတပင်
286,Kyaukkyi Township,Bago Region,Kyaukkyi,Bago,Kyaukkyi,MMR007011,MMR007,Bago (East),ကျောက်ကြီး
